ApsimVersion = 7.10 r4218
Title = Wonju_weather
           Date        biomass          yield  grain_protein     grain_size            esw
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)            (%)            (g)           (mm)
     21/06/2008        12054.2         4833.9         11.861          0.038        425.493
     18/06/2009        10147.8         3821.1         11.412          0.033        519.581
     21/06/2010         7973.1         3333.9         11.520          0.038        565.352
     24/06/2011        12364.9         4160.0         11.099          0.030        554.033
     18/06/2012         9167.2         3490.9         11.472          0.036        443.916
     25/06/2013         9636.2         3713.1         11.579          0.034        544.350
     15/06/2014        11828.5         4013.7         11.282          0.030        351.415
     12/06/2015        10963.2         4103.1         11.535          0.036        400.265
